composition,Atoms,ratio_1,ratio_2
Cs1Pb1Br3,"[1, 1, 3]",1, 1
Cs1Pb2Br5,"[1, 2, 5]",1, 2
Cs2Pb1Br4,"[2, 1, 4]",2, 1
Cs2Pb3Br8,"[2, 3, 8]",2, 3
Cs2Pb5Br12,"[2, 5, 12]",2, 5
Cs3Pb1Br5,"[3, 1, 5]",3, 1
Cs3Pb2Br7,"[3, 2, 7]",3, 2
Cs3Pb4Br11,"[3, 4, 11]",3, 4
Cs4Pb1Br6,"[4, 1, 6]",4, 1
Cs4Pb2Br5,"[4, 2, 5]",4, 2
Cs4Pb3Br7,"[4, 3, 7]",4, 3
Cs4Pb3Br10,"[4, 3, 10]",4, 3
Cs4Pb4Br9,"[4, 4, 9]",4, 4
Cs4Pb5Br11,"[4, 5, 11]",4, 5
Cs5Pb2Br9,"[5, 2, 9]",5, 2
Cs5Pb3Br8,"[5, 3, 8]",5, 3
Cs5Pb3Br11,"[5, 3, 11]",5, 3
Cs5Pb4Br10,"[5, 4, 10]",5, 4
Cs6Pb3Br9,"[6, 3, 9]",6, 3
Cs7Pb2Br11,"[7, 2, 11]",7, 2
Cs7Pb3Br10,"[7, 3, 10]",7, 3
Cs7Pb4Br9,"[7, 4, 9]",7, 4
